context,question,answer
"Cultural eutrophication | Cultural eutrophication is the process that speeds up natural eutrophication because of human activity. Due to clearing of land and building of towns and cities, land runoff is accelerated and more nutrients such as phosphates and nitrate are supplied to lakes and rivers, and then to coastal estuaries and bays. Extra nutrients are also supplied by treatment plants, golf courses, fertilizers, and farms.",What process speeds up natural eutrophication due to human activity?,Cultural eutrophication
"Surface runoff | Surface runoff (also known as overland flow) is the flow of water that occurs when excess stormwater, meltwater, or other sources flows over the Earth's surface. This might occur because soil is saturated to full capacity, because rain arrives more quickly than soil can absorb it, or because impervious areas (roofs and pavement) send their runoff to surrounding soil that cannot absorb all of it. Surface runoff is a major component of the water cycle. It is the primary agent in soil erosion by water.",What is the primary agent in soil erosion by water?,Surface runoff
"Endocrine disruptor | Endocrine disruptors are chemicals that can interfere with endocrine (or hormone) systems at certain doses. These disruptions can cause cancerous tumors, birth defects, and other developmental disorders. Any system in the body controlled by hormones can be derailed by hormone disruptors. Specifically, endocrine disruptors may be associated with the development of learning disabilities, severe attention deficit disorder, cognitive and brain development problems; deformations of the body (including limbs); breast cancer, prostate cancer, thyroid and other cancers; sexual development problems such as feminizing of males or masculinizing effects on females, etc. Recently the Endocrine Society released a statement on endocrine-disrupting chemicals (EDCs) specifically listing obesity, diabetes, female reproduction, male reproduction, hormone-sensitive cancers in females, prostate cancer in males, thyroid, and neurodevelopment and neuroendocrine systems as being affected biological aspects of being exposed to EDCs. The critical period of development for most organisms is between the transition from a fertilized egg into a fully formed infant. As the cells begin to grow and differentiate, there are critical balances of hormones and protein changes that must occur. Therefore, a dose of disrupting chemicals may do substantial damage to a developing fetus. The same dose may not significantly affect adult mothers.",What term describes chemicals that interfere with hormone systems?,Endocrine disruptors
"Diethylstilbestrol | Diethylstilbestrol (DES), also known formerly (and inappropriately) as stilboestrol, is a synthetic, nonsteroidal estrogen of the stilbestrol group that was first synthesized in 1938. It is also classified as an endocrine disruptor. Human exposure to DES occurred through diverse sources, such as dietary ingestion from supplemented cattle feed and medical treatment for certain conditions, including breast and prostate cancers. From about 1940 to 1971, DES was given to pregnant women in the mistaken belief it would reduce the risk of pregnancy complications and losses.","What substance was commonly prescribed to pregnant women from 1940 to 1971, later found to be harmful?",Diethylstilbestrol
"Acid mine drainage | Acid mine drainage, acid and metalliferous drainage (AMD), or acid rock drainage (ARD) is the outflow of acidic water from metal mines or coal mines.",What is the primary environmental issue caused by acid mine drainage?,Water contamination
Acidophiles in acid mine drainage | The outflow of acidic liquids and other pollutants from mines is often catalysed by acid-loving microorganisms; these are the acidophiles in acid mine drainage.,What type of microorganisms thrive in acidic environments and contribute to acid mine drainage?,Acidophiles
"Algal bloom | An algal bloom is a rapid increase or accumulation in the population of algae in freshwater or marine water systems, and is recognized by the discoloration in the water from their pigments. Cyanobacteria were mistaken for algae in the past, so cyanobacterial blooms are sometimes also called algal blooms. Blooms which can injure animals or the ecology are called ""harmful algal blooms"" (HAB), and can lead to fish die-offs, cities cutting off water to residents, or states having to close fisheries.",What nutrient commonly contributes to the occurrence of harmful algal blooms?,Nitrogen
"Cyanophages | Cyanophages are viruses that infect cyanobacteria, also known as Cyanophyta or blue-green algae. Cyanobacteria are a phylum of bacteria that obtain their energy through the process of photosynthesis. Although cyanobacteria metabolize photoautotrophically like eukaryotic plants, they have prokaryotic cell structure. Cyanophages can be found in both freshwater and marine environments. Marine and freshwater cyanophages have icosahedral heads, which contain double-stranded DNA, attached to a tail by connector proteins. The size of the head and tail vary among species of cyanophages. Cyanophages infect a wide range of cyanobacteria and are key regulators of the cyanobacterial populations in aquatic environments, and may aid in the prevention of cyanobacterial blooms in freshwater and marine ecosystems. These blooms can pose a danger to humans and other animals, particularly in eutrophic freshwater lakes. Infection by these viruses is highly prevalent in cells belonging to ""Synechococcus"" spp. in marine environments, where up to 5% of cells belonging to marine cyanobacterial cells have been reported to contain mature phage particles.",What type of virus infects cyanobacteria?,Cyanophages
"Landfill liner | A landfill liner, or composite liner, is intended to be a low permeable barrier, which is laid down under engineered landfill sites. Until it deteriorates, the liner retards migration of leachate, and its toxic constituents, into underlying aquifers or nearby rivers, causing spoliation of the local water.",What is the primary purpose of a landfill liner?,Prevent contamination
"Bioreactor landfill | Landfills are the primary method of waste disposal in many parts of the world, including United States and Canada. Bioreactor landfills are expected to reduce the amount of and costs associated with management of leachate, to increase the rate of production of methane (natural gas) for commercial purposes and reduce the amount of land required for land-fills. Bioreactor landfills are monitored and manipulate oxygen and moisture levels to increase the rate of decomposition by microbial activity.",What gas is produced more efficiently in bioreactor landfills?,Methane
"Thermal pollution | Thermal pollution is the degradation of water quality by any process that changes ambient water temperature. A common cause of thermal pollution is the use of water as a coolant by power plants and industrial manufacturers. When water used as a coolant is returned to the natural environment at a higher temperature, the sudden change in temperature decreases oxygen supply and affects ecosystem composition. Fish and other organisms adapted to particular temperature range can be killed by an abrupt change in water temperature (either a rapid increase or decrease) known as ""thermal shock.""",What is the term for the sudden change in water temperature that can harm aquatic organisms?,Thermal shock
"Thermal oxidizer | A thermal oxidizer (also known as thermal oxidiser, or thermal incinerator) is a process unit for air pollution control in many chemical plants that decomposes hazardous gases at a high temperature and releases them into the atmosphere.",What is a thermal oxidizer used for?,Air pollution control
"2015 United States E. coli outbreak | The 2015 United States ""E. coli"" outbreak is an incident in the United States involving the spread of through contaminated celery which was consumed in chicken salad at various large retailers. A product recall covering more than one dozen states and over 155,000 products has taken place as a result of the incident.",What food was associated with the 2015 E. coli outbreak in the U.S.?,Celery
"2009 United Kingdom E. coli outbreak | The 2009 ""E. coli"" outbreak in the United Kingdom was an outbreak of ""E. coli"" in visitors to a farm in Surrey from August to September 2009. 93 people were affected, most of whom were under 10 years of age. Of those affected, 27 were hospitalized and 17 developed hemolytic uremic syndrome.",What age group was most affected by the E. coli outbreak in the UK in 2009?,Under 10
"2008 Irish pork crisis | The Irish pork crisis of 2008 was a dioxin contamination incident in Ireland that led to an international recall of pork products from Ireland produced between September and early December of that year. It was disclosed in early December 2008 that contaminated animal feed supplied by one Irish manufacturer to thirty-seven beef farms and nine pig farms across Republic of Ireland, and eight beef farms and one dairy farm in Northern Ireland, had caused the contamination of pork with between 80 and 200 times the EU's recommended limit for dioxins and dioxin-like PCBs ""i.e."" 0.2 ng/g TEQ fat (0.2 ppb). The Food Safety Authority of Ireland moved on 6 December to recall from the market all Irish pork products dating from 1 September 2008 to that date. The contaminated feed that was supplied to forty-five beef farms across the island was judged to have caused no significant public health risk, accordingly no recall of beef was ordered. Also affected was a dairy farm in Northern Ireland; some milk supplies were withdrawn from circulation.",What type of food product was recalled in the 2008 Irish pork crisis?,Pork
"2008 Chilean pork crisis | The Chilean Pork crisis of 2008 was Chile's first ever mediatized dioxin crisis that led to major reputational and financial losses for the country due to a number of embargoes put up by importing countries like South-Korea. The main dioxin source has contaminated zinc oxide, which had been used as an animal feed ingredient for pigs. In reaction to the crisis the Chilean government has taken measures for the future to prevent such a crisis from happening again, by adopting regulation based upon European regulations for testing and concentration limits.",What toxic substance was primarily responsible for the 2008 Chilean pork crisis?,Dioxin
Soil salinity | Soil salinity is the salt content in the soil; the process of increasing the salt content is known as salinization. Salts occur naturally within soils and water. Salination can be caused by natural processes such as mineral weathering or by the gradual withdrawal of an ocean. It can also come about through artificial processes such as irrigation.,What is the process called that increases the salt content in soil?,Salinization
Salinity | Salinity is the saltiness or amount of salt dissolved in a body of water (see also soil salinity). This is usually measured in formula_1 (note that this is technically dimensionless). Salinity is an important factor in determining many aspects of the chemistry,What term describes the concentration of salt in water?,Salinity
"Polychlorinated biphenyl | A polychlorinated biphenyl (PCB) is an organic chlorine compound with the formula CHCl. Polychlorinated biphenyls were once widely deployed as dielectric and coolant fluids in electrical apparatus, carbonless copy paper and in heat transfer fluids. Because of their longevity, PCBs are still widely in use, even though their manufacture has declined drastically since the 1960s, when a host of problems were identified. Because of PCBs' environmental toxicity and classification as a persistent organic pollutant, PCB production was banned by the United States Congress in 1979 and by the Stockholm Convention on Persistent Organic Pollutants in 2001. The International Agency for Research on Cancer (IARC), rendered PCBs as definite carcinogens in humans. According to the U.S. Environmental Protection Agency (EPA), PCBs cause cancer in animals and are probable human carcinogens. Many rivers and buildings including schools, parks, and other sites are contaminated with PCBs, and there have been contaminations of food supplies with the substances.",What classification has the IARC given to polychlorinated biphenyls (PCBs)?,Carcinogens
"Pollution of the Hudson River | Between 1947 and 1977, General Electric polluted the Hudson River by dispensing polychlorinated biphenyls (PCBs), causing a range of harmful effects to wildlife and people who eat fish from the river or drink the water. In response to this contamination, activists protested in various ways; for instance, musician Pete Seeger founded the Hudson River Sloop Clearwater and the Clearwater Festival to draw attention to the problem. The activism led to the site being designated as one of the Superfund sites. Other kinds of pollution, including mercury contamination and sewage dumping, have also caused problems.",What chemical was primarily responsible for the pollution of the Hudson River by General Electric between 1947 and 1977?,PCBs
"Groundwater remediation | Groundwater remediation is the process that is used to treat polluted groundwater by removing the pollutants or converting them into harmless products. Groundwater is water present below the ground surface that saturates the pore space in the subsurface. Globally, between 25 per cent and 40 per cent of the world's drinking water is drawn from boreholes and dug wells. Groundwater is also used by farmers to irrigate crops and by industries to produce everyday goods. Most groundwater is clean, but groundwater can become polluted, or contaminated as a result of human activities or as a result of natural conditions.",What is the primary purpose of groundwater remediation?,Pollution removal
"Groundwater recharge | Groundwater recharge or deep drainage or deep percolation is a hydrologic process where water moves downward from surface water to groundwater. Recharge is the primary method through which water enters an aquifer. This process usually occurs in the vadose zone below plant roots and is often expressed as a flux to the water table surface. Recharge occurs both naturally (through the water cycle) and through anthropogenic processes (i.e., ""artificial groundwater recharge""), where rainwater and or reclaimed water is routed to the subsurface.",What is the primary method through which water enters an aquifer?,Groundwater recharge
"Total petroleum hydrocarbon | Total petroleum hydrocarbons (TPH) is a term used for any mixture of hydrocarbons that are found in crude oil. There are several hundred of these compounds, but not all occur in any one sample. Crude oil is used to make petroleum products which can contaminate the environment. Because there are so many different chemicals in crude oil and in other petroleum products, it is not practical to measure each one separately. However, it is useful to measure the total amount of TPH at a site. Chemicals that occur in TPH include hexane, benzene, toluene, xylenes, naphthalene, and fluorene, other constituents of gasoline, of jet fuels, of mineral oils, and of other petroleum products. Petroleum Hydrocarbon Ranges are monitored at various levels depending on the state and testing site.",What does TPH stand for in environmental monitoring?,Total Petroleum Hydrocarbons
"Petroleum (disambiguation) | Petroleum is a naturally occurring, flammable hydrocarbon.",What is a major pollutant produced by burning petroleum?,Carbon monoxide
"Antimicrobial resistance | Antimicrobial resistance (AMR) is the ability of a microbe to resist the effects of medication previously used to treat them. This broader term also covers antibiotic resistance, which applies to bacteria and antibiotics. Resistance arises through one of three ways: natural resistance in certain types of bacteria, genetic mutation, or by one species acquiring resistance from another. Resistance can appear spontaneously because of random mutations; or more commonly following gradual buildup over time, and because of misuse of antibiotics or antimicrobials. Resistant microbes are increasingly difficult to treat, requiring alternative medications or higher doses, both of which may be more expensive or more toxic. Microbes resistant to multiple antimicrobials are called multidrug resistant (MDR); or sometimes superbugs. Antimicrobial resistance is on the rise with millions of deaths every year. All classes of microbes develop resistance: fungi develop antifungal resistance, viruses develop antiviral resistance, protozoa develop antiprotozoal resistance, and bacteria develop antibiotic resistance.",What term describes microbes that are resistant to multiple antimicrobials?,Superbugs
"Antibiotic misuse | Antibiotic misuse, sometimes called antibiotic abuse or antibiotic overuse, refers to the misuse or overuse of antibiotics, with potentially serious effects on health. It is a contributing factor to the development of antibiotic resistance, including the creation of multidrug-resistant bacteria, informally called ""super bugs"": relatively harmless bacteria (such as staphylococcus, enterococcus and acinetobacter) can develop resistance to multiple antibiotics and cause life-threatening infections.",What term is used to describe bacteria that have developed resistance to multiple antibiotics?,Superbugs
"Nutrient pollution | Nutrient pollution, a form of water pollution, refers to contamination by excessive inputs of nutrients. It is a primary cause of eutrophication of surface waters, in which excess nutrients, usually nitrogen or phosphorus, stimulate algal growth. Sources of nutrient pollution include surface runoff from farm fields and pastures, discharges from septic tanks and feedlots, and emissions from combustion. Excess nutrients have been summarized as potentially leading to:",What phenomenon is primarily caused by excessive nutrient pollution in water bodies?,Eutrophication
Macronutrient preload | Macronutrient preload is a dieting technique in which a small amount of macronutrients are eaten at a fixed interval before a meal.,What gas is primarily responsible for air pollution and is a major contributor to climate change?,Carbon dioxide
"Siltation | Siltation or siltification is the pollution of water by particulate terrestrial clastic material, with a particle size dominated by silt or clay. It refers both to the increased concentration of suspended sediments, and to the increased accumulation (temporary or permanent) of fine sediments on bottoms where they are undesirable. Siltation is most often caused by soil erosion or sediment spill.",What is the primary cause of siltation in water bodies?,Soil erosion
"Sediment control | A sediment control is a practice or device designed to keep eroded soil on a construction site, so that it does not wash off and cause water pollution to a nearby stream, river, lake, or sea. Sediment controls are usually employed together with erosion controls, which are designed to prevent or minimize erosion and thus reduce the need for sediment controls. Sediment controls are generally designed to be temporary measures, however, some can be used for storm water management purposes.",What does sediment control prevent from washing into water bodies?,Eroded soil
"4-Fluoroamphetamine | 4-Fluoroamphetamine (4-FA; 4-FMP; PAL-303; ""Flux""), also known as ""para""-fluoroamphetamine (PFA) is a psychoactive research chemical of the phenethylamine and substituted amphetamine chemical classes. It produces stimulant and entactogenic effects, and is described subjectively as being between amphetamine and MDMA. As a recreational drug, 4-FA is sometimes sold along with related compounds such as 2-fluoroamphetamine and 4-fluoromethamphetamine.",What is a common environmental consequence of chemical pollution?,Water contamination
"Fluorosurfactant | Fluorosurfactants (also fluorinated surfactants, perfluorinated alkylated substances or PFASs) are synthetic organofluorine chemical compounds that have multiple fluorine atoms. They can be polyfluorinated or fluorocarbon-based (perfluorinated). As surfactants, they are more effective at lowering the surface tension of water than comparable hydrocarbon surfactants. They have a fluorinated ""tail"" and a hydrophilic ""head."" Some human-made fluorosurfactants, such as PFOS and PFOA, are persistent organic pollutants and are detected in humans and wildlife.","What are synthetic compounds known for their persistence in the environment and potential health risks, often abbreviated as PFAS?",Fluorosurfactants
"Viral pathogenesis | Viral pathogenesis is the study of how biological viruses cause diseases in their target hosts, usually carried out at the cellular or molecular level. It is a specialized field of study in virology.",What type of pollution can weaken immune responses and increase susceptibility to viral infections?,Air pollution
"Viral disease | A viral disease (or viral infection) occurs when an organism's body is invaded by pathogenic viruses, and infectious virus particles (virions)",What type of pollution can increase the spread of viral diseases?,Air pollution
"Inorganic nonaqueous solvent | An inorganic nonaqueous solvent is a solvent other than water, that is not an organic compound. Common examples are liquid ammonia, liquid sulfur dioxide, sulfuryl chloride and sulfuryl chloride fluoride, phosphoryl chloride, dinitrogen tetroxide, antimony trichloride, bromine pentafluoride, hydrogen fluoride, pure sulfuric acid and other inorganic acids. These solvents are used in chemical research and industry for reactions that cannot occur in aqueous solutions or require a special environment.",What type of solvents can reduce water pollution in industrial processes?,Inorganic solvents
"Solvent | A solvent (from the Latin ""solvō"", ""loosen, untie, solve"") is a substance that dissolves a solute (a chemically distinct liquid, solid or gas), resulting in a solution. A solvent is usually a liquid but can also be a solid, a gas, or a supercritical fluid. The quantity of solute that can dissolve in a specific volume of solvent varies with temperature. Common uses for organic solvents are in dry cleaning (e.g. tetrachloroethylene), as paint thinners (e.g. toluene, turpentine), as nail polish removers and glue solvents (acetone, methyl acetate, ethyl acetate), in spot removers (e.g. hexane, petrol ether), in detergents (citrus terpenes) and in perfumes (ethanol). Water is a solvent for polar molecules and the most common solvent used by living things; all the ions and proteins in a cell are dissolved in water within a cell. Solvents find various applications in chemical, pharmaceutical, oil, and gas industries, including in chemical syntheses and purification processes.",What is a common environmental issue caused by organic solvents?,Air pollution
Effluent spreading | Effluent spreading is a process in which a slurry of effluent from a dairy farm's milking parlor is pumped and spread on pasture. Commonly a rotating sprinkler is used. Dairy manure contains ammonium NH4-N.,What nutrient is commonly found in dairy manure that can affect water quality?,Ammonium
Livestock Emissions and Abatement Research Network | Livestock Emissions and Abatement Research Network,What gas is primarily emitted by livestock and contributes to climate change?,Methane
"Surface runoff | Surface runoff (also known as overland flow) is the flow of water that occurs when excess stormwater, meltwater, or other sources flows over the Earth's surface. This might occur because soil is saturated to full capacity, because rain arrives more quickly than soil can absorb it, or because impervious areas (roofs and pavement) send their runoff to surrounding soil that cannot absorb all of it. Surface runoff is a major component of the water cycle. It is the primary agent in soil erosion by water.",What is the primary environmental issue caused by surface runoff?,Soil erosion
"Runoff footprint | A runoff footprint is the total surface runoff that a site produces over the course of a year. According to the United States Environmental Protection Agency (EPA), stormwater is ""rainwater and melted snow that runs off streets, lawns, and other sites."" Urbanized areas with high concentrations of impervious surfaces like buildings, roads, and driveways produce large volumes of runoff which can lead to flooding, sewer overflows, and poor water quality. Since soil in urban areas can be compacted and have a low infiltration rate, the surface runoff estimated in a runoff footprint is not just from impervious surfaces, but also pervious areas including yards. The total runoff is a measure of the site’s contribution to stormwater issues in an area, especially in urban areas with sewer overflows. Completing a runoff footprint for a site allows a property owner to understand what areas on his or her site are producing the most runoff and what scenarios of stormwater green solutions like rain barrels and rain gardens are most effective in mitigating this runoff and its costs to the community.",What is the term for the total surface runoff produced by a site over a year?,Runoff footprint
"Point Paterson Desalination Plant | The Point Paterson Desalination Plant was a planned municipal-scale solar-powered desalination plant with land-based brine disposal near Point Paterson in the locality of Winninowie in the Australian state of South Australia about 13 km south of the city centre of Port Augusta. The Point Paterson Project was to utilise a salt flat owned by a salt company but which has not been in use for solar salt production for decades. The plant would have integrated renewable energy and desalination technologies to create environmentally-friendly electricity and water. In particular, the project would have significantly reduced the usual greenhouse impacts associated with grid electricity demand for desalination. The project had attracted the interest of internationally renowned climatologist, the late Professor Stephen Schneider, who joined the Board of Acquasol in 2006.",What renewable energy source was the Point Paterson Desalination Plant planned to use?,Solar power
"Dessalines | Dessalines (Haitian Creole: ""Desalin"" ) or sometimes Marchand-Dessalines (Haitian Creole: ""Machan Desalin"" ), is a commune in the Artibonite department of Haiti. It is named after Jean-Jacques Dessalines, a leader of the Haitian Revolution and the first ruler of independent Haiti. It is known as the First Black Capital of the New World.",What type of pollution is primarily caused by the improper disposal of plastic waste?,Plastic pollution
"Skeletal fluorosis | Skeletal fluorosis is a bone disease caused by excessive accumulation of fluoride in the bones. In advanced cases, skeletal fluorosis causes painful damage to bones and joints.",What disease is caused by excessive fluoride accumulation in bones?,Skeletal fluorosis
"Scandium fluoride | Scandium(III) fluoride, ScF, is an ionic compound. It is slightly soluble in water but dissolves in the presence of excess fluoride to form the ScF anion.",What type of compound is Scandium(III) fluoride?,Ionic compound
"1987 Carroll County Cryptosporidiosis outbreak | The 1987 Carroll County Cryptosporidiosis outbreak was a significant distribution of the ""Cryptosporidium"" protozoan in Carroll County, Georgia. Between January 12 and February 7, 1987, approximately 13,000 of the 65,000 residents of the county suffered intestinal illness caused by the cryptosporidium parasite. Cryptosporidiosis is characterized by watery diarrhea, stomach cramps or pain, dehydration, nausea, vomiting and fever. Symptoms typically last for 1–4 weeks in immunocompetent individuals.",How many residents in Carroll County were affected by the Cryptosporidiosis outbreak in 1987?,"13,000"
"1993 Milwaukee Cryptosporidiosis outbreak | The 1993 Milwaukee Cryptosporidiosis outbreak was a significant distribution of the ""Cryptosporidium"" protozoan in Milwaukee, Wisconsin, and the largest waterborne disease outbreak in documented United States history. The Howard Avenue Water Purification Plant (see Town of Lake water tower) was contaminated, and treated water showed turbidity levels well above normal. It was one of two water treatment plants for Milwaukee. The root cause of epidemic was never officially identified; initially it was suspected to be caused by the cattle genotype due to runoff from pastures. It was also thought that melting ice and snowmelt carrying ""Cryptosporidium"" may have entered the water treatment plants through Lake Michigan. MacKenzie et al. and the CDC showed that this outbreak was caused by ""Cryptosporidium"" oocysts that passed through the filtration system of one of the city's water-treatment plants, arising from a sewage treatment plant's outlet 2 miles upstream in Lake Michigan.",What protozoan was responsible for the 1993 Milwaukee waterborne disease outbreak?,Cryptosporidium
"Benzene in soft drinks | Benzene in soft drinks is of potential concern due to the carcinogenic nature of the benzene molecule. This contamination is a public health concern and has caused significant outcry among environmental and health advocates. Benzene levels are regulated in drinking water nationally and internationally, and in bottled water in the United States, but only informally in soft drinks. The benzene forms from decarboxylation of the preservative benzoic acid in the presence of ascorbic acid (vitamin C) and metal ions (iron and copper) that act as catalysts, especially under heat and light.",What carcinogenic substance can form in soft drinks due to chemical reactions involving preservatives and acids?,Benzene
"Claus' benzene | Claus' benzene (CH) is a hypothetical hydrocarbon and an isomer of benzene. It was proposed by Adolf Karl Ludwig Claus in 1867 as a possible structure for benzene at a time when the structure of benzene was still being debated. The molecule can be described as a hexagon with carbon atoms positioned at the corners, with each carbon connected to its two ortho carbons (the nearest carbons) and the one para carbon connected diametrically. High strain energy makes its synthesis impossible.",What harmful hydrocarbon is commonly found in air pollution and is linked to health risks?,Benzene
"Plastic Pollution Coalition | The Plastic Pollution Coalition (PPC) headquartered in Berkeley, CA is an organization working against the growing plastic pollution that is mostly caused by single-use plastic products and ingredients (plastic bottles, plastic bags, polystyrene, microplastics, microbeads). Founded in 2009, it has over 500 member organizations and businesses plus individuals who work for the common cause. PPC was co-founded by Lisa Kaas Boyle, Manuel Maqueda, Daniella Russo and artist Dianna Cohen who also serves as CEO.",What year was the Plastic Pollution Coalition founded?,2009
